Nome file,Classe,Sottoclasse,Durata
Arnoux-beaked-whales-rogers-6_seg7,Non-Target,Arnoux’s Beaked Whale,4000
Arnoux-beaked-whales-rogers-6_seg8,Non-Target,Arnoux’s Beaked Whale,4000
Arnoux-beaked-whales-rogers-6_seg9,Non-Target,Arnoux’s Beaked Whale,4000
SanctSound_SB01_01_atlanticcod_20181113T024154Z_seg1,Non-Target,Atlantic cod,4000
SanctSound_SB01_01_atlanticcod_20181113T024154Z_seg2,Non-Target,Atlantic cod,4000
Croaker_seg1,Non-Target,Atlantic croaker,4000
Croaker_seg2,Non-Target,Atlantic croaker,4000
Croaker_seg3,Non-Target,Atlantic croaker,4000
61025001_seg1,Non-Target,Atlantic Spotted Dolphin,4000
61025002_seg1,Non-Target,Atlantic Spotted Dolphin,4000
61025003_seg1,Non-Target,Atlantic Spotted Dolphin,4000
61025004_seg1,Non-Target,Atlantic Spotted Dolphin,4000
61025006_seg1,Non-Target,Atlantic Spotted Dolphin,4000
61025007_seg1,Non-Target,Atlantic Spotted Dolphin,4000
61025008_seg1,Non-Target,Atlantic Spotted Dolphin,4000
61025009_seg1,Non-Target,Atlantic Spotted Dolphin,4000
6102500A_seg1,Non-Target,Atlantic Spotted Dolphin,4000
6102500B_seg1,Non-Target,Atlantic Spotted Dolphin,4000
6102500C_seg1,Non-Target,Atlantic Spotted Dolphin,4000
6102500D_seg1,Non-Target,Atlantic Spotted Dolphin,4000
6102500E_seg1,Non-Target,Atlantic Spotted Dolphin,4000
6102500F_seg1,Non-Target,Atlantic Spotted Dolphin,4000
6102500G_seg1,Non-Target,Atlantic Spotted Dolphin,4000
6102500H_seg1,Non-Target,Atlantic Spotted Dolphin,4000
6102500I_seg1,Non-Target,Atlantic Spotted Dolphin,4000
6102500J_seg1,Non-Target,Atlantic Spotted Dolphin,4000
6102500K_seg1,Non-Target,Atlantic Spotted Dolphin,4000
6102500M_seg1,Non-Target,Atlantic Spotted Dolphin,4000
6102500N_seg1,Non-Target,Atlantic Spotted Dolphin,4000
6102500O_seg1,Non-Target,Atlantic Spotted Dolphin,4000
6102500P_seg1,Non-Target,Atlantic Spotted Dolphin,4000
6102500Q_seg1,Non-Target,Atlantic Spotted Dolphin,4000
6102500R_seg1,Non-Target,Atlantic Spotted Dolphin,4000
6102500R_seg10,Non-Target,Atlantic Spotted Dolphin,4000
6102500R_seg11,Non-Target,Atlantic Spotted Dolphin,4000
6102500R_seg12,Non-Target,Atlantic Spotted Dolphin,4000
6102500R_seg13,Non-Target,Atlantic Spotted Dolphin,4000
6102500R_seg14,Non-Target,Atlantic Spotted Dolphin,4000
6102500R_seg15,Non-Target,Atlantic Spotted Dolphin,4000
6102500R_seg2,Non-Target,Atlantic Spotted Dolphin,4000
6102500R_seg3,Non-Target,Atlantic Spotted Dolphin,4000
6102500R_seg4,Non-Target,Atlantic Spotted Dolphin,4000
6102500R_seg5,Non-Target,Atlantic Spotted Dolphin,4000
6102500R_seg6,Non-Target,Atlantic Spotted Dolphin,4000
6102500R_seg7,Non-Target,Atlantic Spotted Dolphin,4000
6102500R_seg8,Non-Target,Atlantic Spotted Dolphin,4000
6102500R_seg9,Non-Target,Atlantic Spotted Dolphin,4000
61026001_seg1,Non-Target,Atlantic Spotted Dolphin,4000
61026002_seg1,Non-Target,Atlantic Spotted Dolphin,4000
61026004_seg1,Non-Target,Atlantic Spotted Dolphin,4000
6102600F_seg1,Non-Target,Atlantic Spotted Dolphin,4000
6102600G_seg1,Non-Target,Atlantic Spotted Dolphin,4000
6102601Y_seg1,Non-Target,Atlantic Spotted Dolphin,4000
6102601Z_seg1,Non-Target,Atlantic Spotted Dolphin,4000
61026020_seg1,Non-Target,Atlantic Spotted Dolphin,4000
61026021_seg1,Non-Target,Atlantic Spotted Dolphin,4000
6102602I_seg1,Non-Target,Atlantic Spotted Dolphin,4000
6102602J_seg1,Non-Target,Atlantic Spotted Dolphin,4000
6102602K_seg1,Non-Target,Atlantic Spotted Dolphin,4000
6102602T_seg1,Non-Target,Atlantic Spotted Dolphin,4000
6102602U_seg1,Non-Target,Atlantic Spotted Dolphin,4000
6102602V_seg1,Non-Target,Atlantic Spotted Dolphin,4000
6102602W_seg1,Non-Target,Atlantic Spotted Dolphin,4000
61026031_seg1,Non-Target,Atlantic Spotted Dolphin,4000
61026036_seg1,Non-Target,Atlantic Spotted Dolphin,4000
6102603A_seg1,Non-Target,Atlantic Spotted Dolphin,4000
6102603C_seg1,Non-Target,Atlantic Spotted Dolphin,4000
6102603E_seg1,Non-Target,Atlantic Spotted Dolphin,4000
6102603F_seg1,Non-Target,Atlantic Spotted Dolphin,4000
6102603I_seg1,Non-Target,Atlantic Spotted Dolphin,4000
6102603L_seg1,Non-Target,Atlantic Spotted Dolphin,4000
6102603O_seg1,Non-Target,Atlantic Spotted Dolphin,4000
6102603S_seg1,Non-Target,Atlantic Spotted Dolphin,4000
6102603V_seg1,Non-Target,Atlantic Spotted Dolphin,4000
6102603W_seg1,Non-Target,Atlantic Spotted Dolphin,4000
6102603X_seg1,Non-Target,Atlantic Spotted Dolphin,4000
6102603Z_seg1,Non-Target,Atlantic Spotted Dolphin,4000
6102604J_seg1,Non-Target,Atlantic Spotted Dolphin,4000
6102604K_seg1,Non-Target,Atlantic Spotted Dolphin,4000
6102604L_seg1,Non-Target,Atlantic Spotted Dolphin,4000
Stfr-Multisound-NOAA-PAGroup-01-atlantic-spotted-dolphin-clip_seg1,Non-Target,Atlantic Spotted Dolphin,4000
Stfr-Multisound-NOAA-PAGroup-01-atlantic-spotted-dolphin-clip_seg2,Non-Target,Atlantic Spotted Dolphin,4000
Laac-whistles-NOAA-PAGroup-01-atlantic-white-sided-dolphin-clip_seg1,Non-Target,Atlantic white-sided dolphin,4000
Laac-whistles-NOAA-PAGroup-01-atlantic-white-sided-dolphin-clip_seg2,Non-Target,Atlantic white-sided dolphin,4000
Laac-whistles-NOAA-PAGroup-01-atlantic-white-sided-dolphin-clip_seg3,Non-Target,Atlantic white-sided dolphin,4000
Laac-whistles-NOAA-PAGroup-01-atlantic-white-sided-dolphin-clip_seg4,Non-Target,Atlantic white-sided dolphin,4000
Aust.-fur-seal-ia-male-bark_seg1,Non-Target,Australian Fur Seal,4000
Aust.-fur-seal-ia-male-bark_seg2,Non-Target,Australian Fur Seal,4000
Aust.-sea-lion-ia-male-bark_seg1,Non-Target,Australian Sea Lion,4000
Aust.-sea-lion-ia-male-bark_seg2,Non-Target,Australian Sea Lion,4000
Orcaella_heinsohni_Chandra-Roebuck-clipped_T0116_1to30sec-copy_seg1,Non-Target,Australian Snubfin Dolphin,4000
Bar-Jack_seg1,Non-Target,Bar jack,4000
Bar-Jack_seg2,Non-Target,Bar jack,4000
Bar-Jack_seg3,Non-Target,Bar jack,4000
Barred-Grunt_seg1,Non-Target,Barred Grunt,4000
Barred-Grunt_seg2,Non-Target,Barred Grunt,4000
66038001_seg1,Non-Target,Bearded Seal,4000
66038002_seg1,Non-Target,Bearded Seal,4000
66038002_seg2,Non-Target,Bearded Seal,4000
66038003_seg1,Non-Target,Bearded Seal,4000
66038003_seg2,Non-Target,Bearded Seal,4000
66038004_seg1,Non-Target,Bearded Seal,4000
66038004_seg2,Non-Target,Bearded Seal,4000
66038004_seg3,Non-Target,Bearded Seal,4000
66038005_seg1,Non-Target,Bearded Seal,4000
66038005_seg2,Non-Target,Bearded Seal,4000
66038005_seg3,Non-Target,Bearded Seal,4000
66038007_seg1,Non-Target,Bearded Seal,4000
66038007_seg2,Non-Target,Bearded Seal,4000
66038007_seg3,Non-Target,Bearded Seal,4000
70025001_seg1,Non-Target,Bearded Seal,4000
70025002_seg1,Non-Target,Bearded Seal,4000
70025003_seg1,Non-Target,Bearded Seal,4000
70025004_seg1,Non-Target,Bearded Seal,4000
70025005_seg1,Non-Target,Bearded Seal,4000
70025006_seg1,Non-Target,Bearded Seal,4000
70025007_seg1,Non-Target,Bearded Seal,4000
70025008_seg1,Non-Target,Bearded Seal,4000
70025009_seg1,Non-Target,Bearded Seal,4000
71012001_seg1,Non-Target,Bearded Seal,4000
71012002_seg1,Non-Target,Bearded Seal,4000
71012003_seg1,Non-Target,Bearded Seal,4000
71012004_seg1,Non-Target,Bearded Seal,4000
71012005_seg1,Non-Target,Bearded Seal,4000
71012006_seg1,Non-Target,Bearded Seal,4000
71012007_seg1,Non-Target,Bearded Seal,4000
71012008_seg1,Non-Target,Bearded Seal,4000
71012009_seg1,Non-Target,Bearded Seal,4000
78018001_seg1,Non-Target,Bearded Seal,4000
78018001_seg10,Non-Target,Bearded Seal,4000
78018001_seg11,Non-Target,Bearded Seal,4000
78018001_seg2,Non-Target,Bearded Seal,4000
78018001_seg3,Non-Target,Bearded Seal,4000
78018001_seg4,Non-Target,Bearded Seal,4000
78018001_seg5,Non-Target,Bearded Seal,4000
78018001_seg6,Non-Target,Bearded Seal,4000
78018001_seg7,Non-Target,Bearded Seal,4000
78018001_seg8,Non-Target,Bearded Seal,4000
78018001_seg9,Non-Target,Bearded Seal,4000
78018005_seg1,Non-Target,Bearded Seal,4000
78018005_seg2,Non-Target,Bearded Seal,4000
78018005_seg3,Non-Target,Bearded Seal,4000
7801800M_seg1,Non-Target,Bearded Seal,4000
7801800M_seg2,Non-Target,Bearded Seal,4000
7801800M_seg3,Non-Target,Bearded Seal,4000
Bearded_Seal_seg1,Non-Target,Bearded Seal,4000
Bearded_Seal_seg10,Non-Target,Bearded Seal,4000
Bearded_Seal_seg11,Non-Target,Bearded Seal,4000
Bearded_Seal_seg12,Non-Target,Bearded Seal,4000
Bearded_Seal_seg13,Non-Target,Bearded Seal,4000
Bearded_Seal_seg14,Non-Target,Bearded Seal,4000
Bearded_Seal_seg2,Non-Target,Bearded Seal,4000
Bearded_Seal_seg3,Non-Target,Bearded Seal,4000
Bearded_Seal_seg4,Non-Target,Bearded Seal,4000
Bearded_Seal_seg5,Non-Target,Bearded Seal,4000
Bearded_Seal_seg6,Non-Target,Bearded Seal,4000
Bearded_Seal_seg7,Non-Target,Bearded Seal,4000
Bearded_Seal_seg8,Non-Target,Bearded Seal,4000
Bearded_Seal_seg9,Non-Target,Bearded Seal,4000
Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip_seg1,Non-Target,Bearded Seal,4000
Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip_seg10,Non-Target,Bearded Seal,4000
Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip_seg11,Non-Target,Bearded Seal,4000
Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip_seg12,Non-Target,Bearded Seal,4000
Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip_seg13,Non-Target,Bearded Seal,4000
Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip_seg14,Non-Target,Bearded Seal,4000
Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip_seg2,Non-Target,Bearded Seal,4000
Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip_seg3,Non-Target,Bearded Seal,4000
Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip_seg4,Non-Target,Bearded Seal,4000
Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip_seg5,Non-Target,Bearded Seal,4000
Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip_seg6,Non-Target,Bearded Seal,4000
Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip_seg7,Non-Target,Bearded Seal,4000
Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip_seg8,Non-Target,Bearded Seal,4000
Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip_seg9,Non-Target,Bearded Seal,4000
62018001_seg1,Non-Target,"Beluga, White Whale",4000
62018002_seg1,Non-Target,"Beluga, White Whale",4000
62019001_seg1,Non-Target,"Beluga, White Whale",4000
62019001_seg2,Non-Target,"Beluga, White Whale",4000
62019007_seg1,Non-Target,"Beluga, White Whale",4000
62019007_seg2,Non-Target,"Beluga, White Whale",4000
6202200E_seg1,Non-Target,"Beluga, White Whale",4000
6202200F_seg1,Non-Target,"Beluga, White Whale",4000
6202200G_seg1,Non-Target,"Beluga, White Whale",4000
6202200G_seg2,Non-Target,"Beluga, White Whale",4000
6202200P_seg1,Non-Target,"Beluga, White Whale",4000
6202200Q_seg1,Non-Target,"Beluga, White Whale",4000
6202200Q_seg2,Non-Target,"Beluga, White Whale",4000
6202200T_seg1,Non-Target,"Beluga, White Whale",4000
6202200T_seg2,Non-Target,"Beluga, White Whale",4000
6202200W_seg1,Non-Target,"Beluga, White Whale",4000
6202200Z_seg1,Non-Target,"Beluga, White Whale",4000
62022012_seg1,Non-Target,"Beluga, White Whale",4000
62022013_seg1,Non-Target,"Beluga, White Whale",4000
62022014_seg1,Non-Target,"Beluga, White Whale",4000
62022016_seg1,Non-Target,"Beluga, White Whale",4000
62022017_seg1,Non-Target,"Beluga, White Whale",4000
62022018_seg1,Non-Target,"Beluga, White Whale",4000
62026001_seg1,Non-Target,"Beluga, White Whale",4000
62026002_seg1,Non-Target,"Beluga, White Whale",4000
62026002_seg2,Non-Target,"Beluga, White Whale",4000
62026003_seg1,Non-Target,"Beluga, White Whale",4000
62026003_seg2,Non-Target,"Beluga, White Whale",4000
62026006_seg1,Non-Target,"Beluga, White Whale",4000
62026007_seg1,Non-Target,"Beluga, White Whale",4000
62026009_seg1,Non-Target,"Beluga, White Whale",4000
62026009_seg2,Non-Target,"Beluga, White Whale",4000
62026009_seg3,Non-Target,"Beluga, White Whale",4000
6202600A_seg1,Non-Target,"Beluga, White Whale",4000
6202600B_seg1,Non-Target,"Beluga, White Whale",4000
6202600C_seg1,Non-Target,"Beluga, White Whale",4000
6202600D_seg1,Non-Target,"Beluga, White Whale",4000
63015001_seg1,Non-Target,"Beluga, White Whale",4000
63015001_seg2,Non-Target,"Beluga, White Whale",4000
63015002_seg1,Non-Target,"Beluga, White Whale",4000
63015002_seg2,Non-Target,"Beluga, White Whale",4000
63015003_seg1,Non-Target,"Beluga, White Whale",4000
63015004_seg1,Non-Target,"Beluga, White Whale",4000
63015005_seg1,Non-Target,"Beluga, White Whale",4000
63015006_seg1,Non-Target,"Beluga, White Whale",4000
63015006_seg2,Non-Target,"Beluga, White Whale",4000
65030001_seg1,Non-Target,"Beluga, White Whale",4000
65030009_seg1,Non-Target,"Beluga, White Whale",4000
6503000F_seg1,Non-Target,"Beluga, White Whale",4000
6503000G_seg1,Non-Target,"Beluga, White Whale",4000
6503000H_seg1,Non-Target,"Beluga, White Whale",4000
6503000I_seg1,Non-Target,"Beluga, White Whale",4000
65033002_seg1,Non-Target,"Beluga, White Whale",4000
65033003_seg1,Non-Target,"Beluga, White Whale",4000
65033004_seg1,Non-Target,"Beluga, White Whale",4000
65033007_seg1,Non-Target,"Beluga, White Whale",4000
6503300C_seg1,Non-Target,"Beluga, White Whale",4000
6503300D_seg1,Non-Target,"Beluga, White Whale",4000
6503300E_seg1,Non-Target,"Beluga, White Whale",4000
6503300E_seg2,Non-Target,"Beluga, White Whale",4000
6503300H_seg1,Non-Target,"Beluga, White Whale",4000
6503300J_seg1,Non-Target,"Beluga, White Whale",4000
6503300K_seg1,Non-Target,"Beluga, White Whale",4000
BelugasHunting_seg1,Non-Target,"Beluga, White Whale",4000
BelugasHunting_seg2,Non-Target,"Beluga, White Whale",4000
BelugasHunting_seg3,Non-Target,"Beluga, White Whale",4000
Dele-multisound-NOAA-Castellote-01-beluga-clip_seg1,Non-Target,"Beluga, White Whale",4000
Dele-multisound-NOAA-Castellote-01-beluga-clip_seg2,Non-Target,"Beluga, White Whale",4000
Dele-multisound-NOAA-Castellote-01-beluga-clip_seg3,Non-Target,"Beluga, White Whale",4000
Dele-multisound-NOAA-Castellote-01-beluga-clip_seg4,Non-Target,"Beluga, White Whale",4000
Dele-multisound-NOAA-Castellote-01-beluga-clip_seg5,Non-Target,"Beluga, White Whale",4000
Dele-multisound-NOAA-Castellote-01-beluga-clip_seg6,Non-Target,"Beluga, White Whale",4000
Dele-multisound-NOAA-Castellote-01-beluga-clip_seg7,Non-Target,"Beluga, White Whale",4000
Dele-multisound-NOAA-Castellote-01-beluga-clip_seg8,Non-Target,"Beluga, White Whale",4000
Black-Drum_seg1,Non-Target,Black Drum,4000
Black-Drum_seg2,Non-Target,Black Drum,4000
SanctSound_FK01_01_blackgrouper_20190120T115740Z_seg1,Non-Target,Black grouper,4000
SanctSound_FK01_01_blackgrouper_20190120T115740Z_seg2,Non-Target,Black grouper,4000
ABW_Bremer_Bay_2015_seg1,Non-Target,Blue whale,4000
ABW_Bremer_Bay_2015_seg2,Non-Target,Blue whale,4000
ABW_Bremer_Bay_2015_seg3,Non-Target,Blue whale,4000
ABW_Bremer_Bay_2015_seg4,Non-Target,Blue whale,4000
ABW_Bremer_Bay_2015_seg5,Non-Target,Blue whale,4000
ABW_Bremer_Bay_2015_seg6,Non-Target,Blue whale,4000
ABW_Bremer_Bay_2015_seg7,Non-Target,Blue whale,4000
ABW_Bremer_Bay_2015_seg8,Non-Target,Blue whale,4000
ABW_Bremer_Bay_2015_seg9,Non-Target,Blue whale,4000
Cornell-NY-LongIsland-20090123-000000-LPfilter20-amplified-x8speed-blue-clip-fixed_seg1,Non-Target,Blue whale,4000
Cornell-NY-LongIsland-20090123-000000-LPfilter20-amplified-x8speed-blue-clip-fixed_seg10,Non-Target,Blue whale,4000
Cornell-NY-LongIsland-20090123-000000-LPfilter20-amplified-x8speed-blue-clip-fixed_seg100,Non-Target,Blue whale,4000
Cornell-NY-LongIsland-20090123-000000-LPfilter20-amplified-x8speed-blue-clip-fixed_seg101,Non-Target,Blue whale,4000
Cornell-NY-LongIsland-20090123-000000-LPfilter20-amplified-x8speed-blue-clip-fixed_seg102,Non-Target,Blue whale,4000
Cornell-NY-LongIsland-20090123-000000-LPfilter20-amplified-x8speed-blue-clip-fixed_seg103,Non-Target,Blue whale,4000
Cornell-NY-LongIsland-20090123-000000-LPfilter20-amplified-x8speed-blue-clip-fixed_seg104,Non-Target,Blue whale,4000
Cornell-NY-LongIsland-20090123-000000-LPfilter20-amplified-x8speed-blue-clip-fixed_seg105,Non-Target,Blue whale,4000
Cornell-NY-LongIsland-20090123-000000-LPfilter20-amplified-x8speed-blue-clip-fixed_seg106,Non-Target,Blue whale,4000
Cornell-NY-LongIsland-20090123-000000-LPfilter20-amplified-x8speed-blue-clip-fixed_seg107,Non-Target,Blue whale,4000
Cornell-NY-LongIsland-20090123-000000-LPfilter20-amplified-x8speed-blue-clip-fixed_seg108,Non-Target,Blue whale,4000
Cornell-NY-LongIsland-20090123-000000-LPfilter20-amplified-x8speed-blue-clip-fixed_seg109,Non-Target,Blue whale,4000
Cornell-NY-LongIsland-20090123-000000-LPfilter20-amplified-x8speed-blue-clip-fixed_seg11,Non-Target,Blue whale,4000
Cornell-NY-LongIsland-20090123-000000-LPfilter20-amplified-x8speed-blue-clip-fixed_seg110,Non-Target,Blue whale,4000
Cornell-NY-LongIsland-20090123-000000-LPfilter20-amplified-x8speed-blue-clip-fixed_seg111,Non-Target,Blue whale,4000
Cornell-NY-LongIsland-20090123-000000-LPfilter20-amplified-x8speed-blue-clip-fixed_seg112,Non-Target,Blue whale,4000
Cornell-NY-LongIsland-20090123-000000-LPfilter20-amplified-x8speed-blue-clip-fixed_seg113,Non-Target,Blue whale,4000
Cornell-NY-LongIsland-20090123-000000-LPfilter20-amplified-x8speed-blue-clip-fixed_seg114,Non-Target,Blue whale,4000
Cornell-NY-LongIsland-20090123-000000-LPfilter20-amplified-x8speed-blue-clip-fixed_seg115,Non-Target,Blue whale,4000
Cornell-NY-LongIsland-20090123-000000-LPfilter20-amplified-x8speed-blue-clip-fixed_seg116,Non-Target,Blue whale,4000
Cornell-NY-LongIsland-20090123-000000-LPfilter20-amplified-x8speed-blue-clip-fixed_seg117,Non-Target,Blue whale,4000
Cornell-NY-LongIsland-20090123-000000-LPfilter20-amplified-x8speed-blue-clip-fixed_seg118,Non-Target,Blue whale,4000
Cornell-NY-LongIsland-20090123-000000-LPfilter20-amplified-x8speed-blue-clip-fixed_seg119,Non-Target,Blue whale,4000
Cornell-NY-LongIsland-20090123-000000-LPfilter20-amplified-x8speed-blue-clip-fixed_seg12,Non-Target,Blue whale,4000
Cornell-NY-LongIsland-20090123-000000-LPfilter20-amplified-x8speed-blue-clip-fixed_seg120,Non-Target,Blue whale,4000
Cornell-NY-LongIsland-20090123-000000-LPfilter20-amplified-x8speed-blue-clip-fixed_seg121,Non-Target,Blue whale,4000
Cornell-NY-LongIsland-20090123-000000-LPfilter20-amplified-x8speed-blue-clip-fixed_seg122,Non-Target,Blue whale,4000
Cornell-NY-LongIsland-20090123-000000-LPfilter20-amplified-x8speed-blue-clip-fixed_seg123,Non-Target,Blue whale,4000
Cornell-NY-LongIsland-20090123-000000-LPfilter20-amplified-x8speed-blue-clip-fixed_seg124,Non-Target,Blue whale,4000
Cornell-NY-LongIsland-20090123-000000-LPfilter20-amplified-x8speed-blue-clip-fixed_seg125,Non-Target,Blue whale,4000
