Nome file,Classe,Sottoclasse,Durata,Numero di segmento,File di Provenienza
Arnoux-beaked-whales-rogers-1_seg1.wav,Non-Target,Arnoux’s Beaked Whale,4.0,1,Arnoux-beaked-whales-rogers-1.wav
Arnoux-beaked-whales-rogers-1_seg2.wav,Non-Target,Arnoux’s Beaked Whale,4.0,2,Arnoux-beaked-whales-rogers-1.wav
Arnoux-beaked-whales-rogers-1_seg3.wav,Non-Target,Arnoux’s Beaked Whale,1.9929791666666667,3,Arnoux-beaked-whales-rogers-1.wav
Arnoux-beaked-whales-rogers-2_seg1.wav,Non-Target,Arnoux’s Beaked Whale,4.0,1,Arnoux-beaked-whales-rogers-2.wav
Arnoux-beaked-whales-rogers-2_seg2.wav,Non-Target,Arnoux’s Beaked Whale,4.0,2,Arnoux-beaked-whales-rogers-2.wav
Arnoux-beaked-whales-rogers-2_seg3.wav,Non-Target,Arnoux’s Beaked Whale,0.6685208333333333,3,Arnoux-beaked-whales-rogers-2.wav
Arnoux-beaked-whales-rogers-3_seg1.wav,Non-Target,Arnoux’s Beaked Whale,4.0,1,Arnoux-beaked-whales-rogers-3.wav
Arnoux-beaked-whales-rogers-3_seg2.wav,Non-Target,Arnoux’s Beaked Whale,4.0,2,Arnoux-beaked-whales-rogers-3.wav
Arnoux-beaked-whales-rogers-3_seg3.wav,Non-Target,Arnoux’s Beaked Whale,2.2929791666666666,3,Arnoux-beaked-whales-rogers-3.wav
Arnoux-beaked-whales-rogers-4_seg1.wav,Non-Target,Arnoux’s Beaked Whale,4.0,1,Arnoux-beaked-whales-rogers-4.wav
Arnoux-beaked-whales-rogers-4_seg2.wav,Non-Target,Arnoux’s Beaked Whale,4.0,2,Arnoux-beaked-whales-rogers-4.wav
Arnoux-beaked-whales-rogers-4_seg3.wav,Non-Target,Arnoux’s Beaked Whale,1.9930104166666667,3,Arnoux-beaked-whales-rogers-4.wav
Arnoux-beaked-whales-rogers-5_seg1.wav,Non-Target,Arnoux’s Beaked Whale,4.0,1,Arnoux-beaked-whales-rogers-5.wav
Arnoux-beaked-whales-rogers-5_seg2.wav,Non-Target,Arnoux’s Beaked Whale,4.0,2,Arnoux-beaked-whales-rogers-5.wav
Arnoux-beaked-whales-rogers-5_seg3.wav,Non-Target,Arnoux’s Beaked Whale,4.0,3,Arnoux-beaked-whales-rogers-5.wav
Arnoux-beaked-whales-rogers-5_seg4.wav,Non-Target,Arnoux’s Beaked Whale,4.0,4,Arnoux-beaked-whales-rogers-5.wav
Arnoux-beaked-whales-rogers-5_seg5.wav,Non-Target,Arnoux’s Beaked Whale,3.9930208333333335,5,Arnoux-beaked-whales-rogers-5.wav
Arnoux-beaked-whales-rogers-6_seg1.wav,Non-Target,Arnoux’s Beaked Whale,4.0,1,Arnoux-beaked-whales-rogers-6.wav
Arnoux-beaked-whales-rogers-6_seg2.wav,Non-Target,Arnoux’s Beaked Whale,4.0,2,Arnoux-beaked-whales-rogers-6.wav
Arnoux-beaked-whales-rogers-6_seg3.wav,Non-Target,Arnoux’s Beaked Whale,4.0,3,Arnoux-beaked-whales-rogers-6.wav
Arnoux-beaked-whales-rogers-6_seg4.wav,Non-Target,Arnoux’s Beaked Whale,4.0,4,Arnoux-beaked-whales-rogers-6.wav
Arnoux-beaked-whales-rogers-6_seg5.wav,Non-Target,Arnoux’s Beaked Whale,4.0,5,Arnoux-beaked-whales-rogers-6.wav
Arnoux-beaked-whales-rogers-6_seg6.wav,Non-Target,Arnoux’s Beaked Whale,4.0,6,Arnoux-beaked-whales-rogers-6.wav
Arnoux-beaked-whales-rogers-6_seg7.wav,Non-Target,Arnoux’s Beaked Whale,4.0,7,Arnoux-beaked-whales-rogers-6.wav
Arnoux-beaked-whales-rogers-6_seg8.wav,Non-Target,Arnoux’s Beaked Whale,4.0,8,Arnoux-beaked-whales-rogers-6.wav
Arnoux-beaked-whales-rogers-6_seg9.wav,Non-Target,Arnoux’s Beaked Whale,4.0,9,Arnoux-beaked-whales-rogers-6.wav
Arnoux-beaked-whales-rogers-6_seg10.wav,Non-Target,Arnoux’s Beaked Whale,1.2426770833333334,10,Arnoux-beaked-whales-rogers-6.wav
SanctSound_SB01_01_atlanticcod_20181113T024154Z_seg1.wav,Non-Target,Atlantic cod,4.0,1,SanctSound_SB01_01_atlanticcod_20181113T024154Z.wav
SanctSound_SB01_01_atlanticcod_20181113T024154Z_seg2.wav,Non-Target,Atlantic cod,1.0,2,SanctSound_SB01_01_atlanticcod_20181113T024154Z.wav
Croaker_seg1.wav,Non-Target,Atlantic croaker,4.0,1,Croaker.wav
Croaker_seg2.wav,Non-Target,Atlantic croaker,4.0,2,Croaker.wav
Croaker_seg3.wav,Non-Target,Atlantic croaker,3.0062604166666667,3,Croaker.wav
61025001_seg1.wav,Non-Target,Atlantic Spotted Dolphin,3.528,1,61025001.wav
61025002_seg1.wav,Non-Target,Atlantic Spotted Dolphin,3.528,1,61025002.wav
61025003_seg1.wav,Non-Target,Atlantic Spotted Dolphin,3.528,1,61025003.wav
61025004_seg1.wav,Non-Target,Atlantic Spotted Dolphin,1.7639895833333334,1,61025004.wav
61025006_seg1.wav,Non-Target,Atlantic Spotted Dolphin,1.7639895833333334,1,61025006.wav
61025007_seg1.wav,Non-Target,Atlantic Spotted Dolphin,1.7639895833333334,1,61025007.wav
61025008_seg1.wav,Non-Target,Atlantic Spotted Dolphin,3.528,1,61025008.wav
61025009_seg1.wav,Non-Target,Atlantic Spotted Dolphin,2.6460208333333335,1,61025009.wav
6102500A_seg1.wav,Non-Target,Atlantic Spotted Dolphin,3.528,1,6102500A.wav
6102500B_seg1.wav,Non-Target,Atlantic Spotted Dolphin,1.2227083333333333,1,6102500B.wav
6102500C_seg1.wav,Non-Target,Atlantic Spotted Dolphin,1.5208020833333333,1,6102500C.wav
6102500D_seg1.wav,Non-Target,Atlantic Spotted Dolphin,1.23246875,1,6102500D.wav
6102500E_seg1.wav,Non-Target,Atlantic Spotted Dolphin,1.1168333333333333,1,6102500E.wav
6102500F_seg1.wav,Non-Target,Atlantic Spotted Dolphin,1.16646875,1,6102500F.wav
6102500G_seg1.wav,Non-Target,Atlantic Spotted Dolphin,1.4574270833333334,1,6102500G.wav
6102500H_seg1.wav,Non-Target,Atlantic Spotted Dolphin,1.0967604166666667,1,6102500H.wav
6102500I_seg1.wav,Non-Target,Atlantic Spotted Dolphin,1.7937395833333334,1,6102500I.wav
6102500J_seg1.wav,Non-Target,Atlantic Spotted Dolphin,1.4621875,1,6102500J.wav
6102500K_seg1.wav,Non-Target,Atlantic Spotted Dolphin,0.8645625,1,6102500K.wav
6102500M_seg1.wav,Non-Target,Atlantic Spotted Dolphin,0.9821875,1,6102500M.wav
6102500N_seg1.wav,Non-Target,Atlantic Spotted Dolphin,1.8723333333333334,1,6102500N.wav
6102500O_seg1.wav,Non-Target,Atlantic Spotted Dolphin,1.3301666666666667,1,6102500O.wav
6102500P_seg1.wav,Non-Target,Atlantic Spotted Dolphin,1.3526145833333334,1,6102500P.wav
6102500Q_seg1.wav,Non-Target,Atlantic Spotted Dolphin,1.45109375,1,6102500Q.wav
6102500R_seg1.wav,Non-Target,Atlantic Spotted Dolphin,4.0,1,6102500R.wav
6102500R_seg2.wav,Non-Target,Atlantic Spotted Dolphin,4.0,2,6102500R.wav
6102500R_seg3.wav,Non-Target,Atlantic Spotted Dolphin,4.0,3,6102500R.wav
6102500R_seg4.wav,Non-Target,Atlantic Spotted Dolphin,4.0,4,6102500R.wav
6102500R_seg5.wav,Non-Target,Atlantic Spotted Dolphin,4.0,5,6102500R.wav
6102500R_seg6.wav,Non-Target,Atlantic Spotted Dolphin,4.0,6,6102500R.wav
6102500R_seg7.wav,Non-Target,Atlantic Spotted Dolphin,4.0,7,6102500R.wav
6102500R_seg8.wav,Non-Target,Atlantic Spotted Dolphin,4.0,8,6102500R.wav
6102500R_seg9.wav,Non-Target,Atlantic Spotted Dolphin,4.0,9,6102500R.wav
6102500R_seg10.wav,Non-Target,Atlantic Spotted Dolphin,4.0,10,6102500R.wav
6102500R_seg11.wav,Non-Target,Atlantic Spotted Dolphin,4.0,11,6102500R.wav
6102500R_seg12.wav,Non-Target,Atlantic Spotted Dolphin,4.0,12,6102500R.wav
6102500R_seg13.wav,Non-Target,Atlantic Spotted Dolphin,4.0,13,6102500R.wav
6102500R_seg14.wav,Non-Target,Atlantic Spotted Dolphin,4.0,14,6102500R.wav
6102500R_seg15.wav,Non-Target,Atlantic Spotted Dolphin,2.623177083333333,15,6102500R.wav
61026001_seg1.wav,Non-Target,Atlantic Spotted Dolphin,1.9211875,1,61026001.wav
61026002_seg1.wav,Non-Target,Atlantic Spotted Dolphin,1.7978125,1,61026002.wav
61026004_seg1.wav,Non-Target,Atlantic Spotted Dolphin,1.6121875,1,61026004.wav
6102600F_seg1.wav,Non-Target,Atlantic Spotted Dolphin,1.665125,1,6102600F.wav
6102600G_seg1.wav,Non-Target,Atlantic Spotted Dolphin,1.6824270833333332,1,6102600G.wav
6102601Y_seg1.wav,Non-Target,Atlantic Spotted Dolphin,1.551,1,6102601Y.wav
6102601Z_seg1.wav,Non-Target,Atlantic Spotted Dolphin,1.3394895833333333,1,6102601Z.wav
61026020_seg1.wav,Non-Target,Atlantic Spotted Dolphin,1.4241041666666667,1,61026020.wav
61026021_seg1.wav,Non-Target,Atlantic Spotted Dolphin,1.53690625,1,61026021.wav
6102602I_seg1.wav,Non-Target,Atlantic Spotted Dolphin,1.2408020833333333,1,6102602I.wav
6102602J_seg1.wav,Non-Target,Atlantic Spotted Dolphin,1.5792083333333333,1,6102602J.wav
6102602K_seg1.wav,Non-Target,Atlantic Spotted Dolphin,1.4382083333333333,1,6102602K.wav
6102602T_seg1.wav,Non-Target,Atlantic Spotted Dolphin,1.7907083333333333,1,6102602T.wav
6102602U_seg1.wav,Non-Target,Atlantic Spotted Dolphin,1.692,1,6102602U.wav
6102602V_seg1.wav,Non-Target,Atlantic Spotted Dolphin,1.2548958333333333,1,6102602V.wav
6102602W_seg1.wav,Non-Target,Atlantic Spotted Dolphin,1.1421041666666667,1,6102602W.wav
61026031_seg1.wav,Non-Target,Atlantic Spotted Dolphin,1.4946041666666667,1,61026031.wav
61026036_seg1.wav,Non-Target,Atlantic Spotted Dolphin,1.3677083333333333,1,61026036.wav
6102603A_seg1.wav,Non-Target,Atlantic Spotted Dolphin,1.39590625,1,6102603A.wav
6102603C_seg1.wav,Non-Target,Atlantic Spotted Dolphin,1.60740625,1,6102603C.wav
6102603E_seg1.wav,Non-Target,Atlantic Spotted Dolphin,1.5087083333333333,1,6102603E.wav
6102603F_seg1.wav,Non-Target,Atlantic Spotted Dolphin,1.39590625,1,6102603F.wav
6102603I_seg1.wav,Non-Target,Atlantic Spotted Dolphin,1.3113020833333333,1,6102603I.wav
6102603L_seg1.wav,Non-Target,Atlantic Spotted Dolphin,1.4382083333333333,1,6102603L.wav
6102603O_seg1.wav,Non-Target,Atlantic Spotted Dolphin,1.2486145833333333,1,6102603O.wav
6102603S_seg1.wav,Non-Target,Atlantic Spotted Dolphin,1.2980520833333333,1,6102603S.wav
6102603V_seg1.wav,Non-Target,Atlantic Spotted Dolphin,1.4835,1,6102603V.wav
6102603W_seg1.wav,Non-Target,Atlantic Spotted Dolphin,1.3846041666666666,1,6102603W.wav
6102603X_seg1.wav,Non-Target,Atlantic Spotted Dolphin,1.3104270833333334,1,6102603X.wav
6102603Z_seg1.wav,Non-Target,Atlantic Spotted Dolphin,1.3846041666666666,1,6102603Z.wav
6102604J_seg1.wav,Non-Target,Atlantic Spotted Dolphin,1.9292083333333334,1,6102604J.wav
6102604K_seg1.wav,Non-Target,Atlantic Spotted Dolphin,1.6708333333333334,1,6102604K.wav
6102604L_seg1.wav,Non-Target,Atlantic Spotted Dolphin,1.7569583333333334,1,6102604L.wav
Stfr-Multisound-NOAA-PAGroup-01-atlantic-spotted-dolphin-clip_seg1.wav,Non-Target,Atlantic Spotted Dolphin,4.0,1,Stfr-Multisound-NOAA-PAGroup-01-atlantic-spotted-dolphin-clip.wav
Stfr-Multisound-NOAA-PAGroup-01-atlantic-spotted-dolphin-clip_seg2.wav,Non-Target,Atlantic Spotted Dolphin,0.8658958333333333,2,Stfr-Multisound-NOAA-PAGroup-01-atlantic-spotted-dolphin-clip.wav
Laac-whistles-NOAA-PAGroup-01-atlantic-white-sided-dolphin-clip_seg1.wav,Non-Target,Atlantic white-sided dolphin,4.0,1,Laac-whistles-NOAA-PAGroup-01-atlantic-white-sided-dolphin-clip.wav
Laac-whistles-NOAA-PAGroup-01-atlantic-white-sided-dolphin-clip_seg2.wav,Non-Target,Atlantic white-sided dolphin,4.0,2,Laac-whistles-NOAA-PAGroup-01-atlantic-white-sided-dolphin-clip.wav
Laac-whistles-NOAA-PAGroup-01-atlantic-white-sided-dolphin-clip_seg3.wav,Non-Target,Atlantic white-sided dolphin,4.0,3,Laac-whistles-NOAA-PAGroup-01-atlantic-white-sided-dolphin-clip.wav
Laac-whistles-NOAA-PAGroup-01-atlantic-white-sided-dolphin-clip_seg4.wav,Non-Target,Atlantic white-sided dolphin,0.01365625,4,Laac-whistles-NOAA-PAGroup-01-atlantic-white-sided-dolphin-clip.wav
Aust.-fur-seal-ia-male-bark_seg1.wav,Non-Target,Australian Fur Seal,4.0,1,Aust.-fur-seal-ia-male-bark.wav
Aust.-fur-seal-ia-male-bark_seg2.wav,Non-Target,Australian Fur Seal,2.2608645833333334,2,Aust.-fur-seal-ia-male-bark.wav
Aust.-sea-lion-ia-male-bark_seg1.wav,Non-Target,Australian Sea Lion,4.0,1,Aust.-sea-lion-ia-male-bark.wav
Aust.-sea-lion-ia-male-bark_seg2.wav,Non-Target,Australian Sea Lion,3.092885416666667,2,Aust.-sea-lion-ia-male-bark.wav
Orcaella_heinsohni_Chandra-Roebuck-clipped_T0116_1to30sec-copy_seg1.wav,Non-Target,Australian Snubfin Dolphin,3.089958333333333,1,Orcaella_heinsohni_Chandra-Roebuck-clipped_T0116_1to30sec-copy.wav
Bar-Jack_seg1.wav,Non-Target,Bar jack,4.0,1,Bar-Jack.wav
Bar-Jack_seg2.wav,Non-Target,Bar jack,4.0,2,Bar-Jack.wav
Bar-Jack_seg3.wav,Non-Target,Bar jack,0.5217291666666667,3,Bar-Jack.wav
Barred-Grunt_seg1.wav,Non-Target,Barred Grunt,4.0,1,Barred-Grunt.wav
Barred-Grunt_seg2.wav,Non-Target,Barred Grunt,3.9412291666666666,2,Barred-Grunt.wav
66038001_seg1.wav,Non-Target,Bearded Seal,3.90578125,1,66038001.wav
66038002_seg1.wav,Non-Target,Bearded Seal,4.0,1,66038002.wav
66038002_seg2.wav,Non-Target,Bearded Seal,2.109114583333333,2,66038002.wav
66038003_seg1.wav,Non-Target,Bearded Seal,4.0,1,66038003.wav
66038003_seg2.wav,Non-Target,Bearded Seal,2.5398020833333335,2,66038003.wav
66038004_seg1.wav,Non-Target,Bearded Seal,4.0,1,66038004.wav
66038004_seg2.wav,Non-Target,Bearded Seal,4.0,2,66038004.wav
66038004_seg3.wav,Non-Target,Bearded Seal,0.17478125,3,66038004.wav
66038005_seg1.wav,Non-Target,Bearded Seal,4.0,1,66038005.wav
66038005_seg2.wav,Non-Target,Bearded Seal,4.0,2,66038005.wav
66038005_seg3.wav,Non-Target,Bearded Seal,0.17478125,3,66038005.wav
66038007_seg1.wav,Non-Target,Bearded Seal,4.0,1,66038007.wav
66038007_seg2.wav,Non-Target,Bearded Seal,4.0,2,66038007.wav
66038007_seg3.wav,Non-Target,Bearded Seal,0.037,3,66038007.wav
70025001_seg1.wav,Non-Target,Bearded Seal,2.8359375,1,70025001.wav
70025002_seg1.wav,Non-Target,Bearded Seal,2.7046875,1,70025002.wav
70025003_seg1.wav,Non-Target,Bearded Seal,2.8359375,1,70025003.wav
70025004_seg1.wav,Non-Target,Bearded Seal,2.8359375,1,70025004.wav
70025005_seg1.wav,Non-Target,Bearded Seal,1.41796875,1,70025005.wav
70025006_seg1.wav,Non-Target,Bearded Seal,2.5640625,1,70025006.wav
70025007_seg1.wav,Non-Target,Bearded Seal,2.1046770833333333,1,70025007.wav
70025008_seg1.wav,Non-Target,Bearded Seal,1.3218645833333333,1,70025008.wav
70025009_seg1.wav,Non-Target,Bearded Seal,1.9921875,1,70025009.wav
71012001_seg1.wav,Non-Target,Bearded Seal,1.41796875,1,71012001.wav
71012002_seg1.wav,Non-Target,Bearded Seal,1.41796875,1,71012002.wav
71012003_seg1.wav,Non-Target,Bearded Seal,0.75,1,71012003.wav
71012004_seg1.wav,Non-Target,Bearded Seal,0.75,1,71012004.wav
71012005_seg1.wav,Non-Target,Bearded Seal,0.75,1,71012005.wav
71012006_seg1.wav,Non-Target,Bearded Seal,1.1343645833333333,1,71012006.wav
71012007_seg1.wav,Non-Target,Bearded Seal,1.209375,1,71012007.wav
71012008_seg1.wav,Non-Target,Bearded Seal,0.83671875,1,71012008.wav
71012009_seg1.wav,Non-Target,Bearded Seal,0.83671875,1,71012009.wav
78018001_seg1.wav,Non-Target,Bearded Seal,4.0,1,78018001.wav
78018001_seg2.wav,Non-Target,Bearded Seal,4.0,2,78018001.wav
78018001_seg3.wav,Non-Target,Bearded Seal,4.0,3,78018001.wav
78018001_seg4.wav,Non-Target,Bearded Seal,4.0,4,78018001.wav
78018001_seg5.wav,Non-Target,Bearded Seal,4.0,5,78018001.wav
78018001_seg6.wav,Non-Target,Bearded Seal,4.0,6,78018001.wav
78018001_seg7.wav,Non-Target,Bearded Seal,4.0,7,78018001.wav
78018001_seg8.wav,Non-Target,Bearded Seal,4.0,8,78018001.wav
78018001_seg9.wav,Non-Target,Bearded Seal,4.0,9,78018001.wav
78018001_seg10.wav,Non-Target,Bearded Seal,4.0,10,78018001.wav
78018001_seg11.wav,Non-Target,Bearded Seal,0.875,11,78018001.wav
78018005_seg1.wav,Non-Target,Bearded Seal,4.0,1,78018005.wav
78018005_seg2.wav,Non-Target,Bearded Seal,4.0,2,78018005.wav
78018005_seg3.wav,Non-Target,Bearded Seal,3.34375,3,78018005.wav
7801800M_seg1.wav,Non-Target,Bearded Seal,4.0,1,7801800M.wav
7801800M_seg2.wav,Non-Target,Bearded Seal,4.0,2,7801800M.wav
7801800M_seg3.wav,Non-Target,Bearded Seal,3.30625,3,7801800M.wav
Bearded_Seal_seg1.wav,Non-Target,Bearded Seal,4.0,1,Bearded_Seal.wav
Bearded_Seal_seg2.wav,Non-Target,Bearded Seal,4.0,2,Bearded_Seal.wav
Bearded_Seal_seg3.wav,Non-Target,Bearded Seal,4.0,3,Bearded_Seal.wav
Bearded_Seal_seg4.wav,Non-Target,Bearded Seal,4.0,4,Bearded_Seal.wav
Bearded_Seal_seg5.wav,Non-Target,Bearded Seal,4.0,5,Bearded_Seal.wav
Bearded_Seal_seg6.wav,Non-Target,Bearded Seal,4.0,6,Bearded_Seal.wav
Bearded_Seal_seg7.wav,Non-Target,Bearded Seal,4.0,7,Bearded_Seal.wav
Bearded_Seal_seg8.wav,Non-Target,Bearded Seal,4.0,8,Bearded_Seal.wav
Bearded_Seal_seg9.wav,Non-Target,Bearded Seal,4.0,9,Bearded_Seal.wav
Bearded_Seal_seg10.wav,Non-Target,Bearded Seal,4.0,10,Bearded_Seal.wav
Bearded_Seal_seg11.wav,Non-Target,Bearded Seal,4.0,11,Bearded_Seal.wav
Bearded_Seal_seg12.wav,Non-Target,Bearded Seal,4.0,12,Bearded_Seal.wav
Bearded_Seal_seg13.wav,Non-Target,Bearded Seal,4.0,13,Bearded_Seal.wav
Bearded_Seal_seg14.wav,Non-Target,Bearded Seal,1.1272604166666667,14,Bearded_Seal.wav
Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip_seg1.wav,Non-Target,Bearded Seal,4.0,1,Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip.wav
Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip_seg2.wav,Non-Target,Bearded Seal,4.0,2,Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip.wav
Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip_seg3.wav,Non-Target,Bearded Seal,4.0,3,Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip.wav
